"","Year","Region","Wind2","Wave and tidal","Solar PV","Hydro","Landfill gas","Other bioenergy (incl Sewage gas3","Total"
"79","2008","West Midlands","0.0","0.0","0.0","0.9","275.2","101.1","321.8"
"80","2008","Yorkshire and the Humber","87.5","0.0","0.0","2.6","329.8","10.2","1,093.8"
"81","2008","Northern Ireland","563.4","0.0","0.0","26.1","1.2","0.8","13.1"
"82","2008","Scotland","3,361.5","0.0","0.0","4,700.7","494.0","20.3","479.0"
"83","2008","Wales","989.1","0.0","0.0","334.2","221.4","4.8","161.9"
"84","2008","Other Sites4","2.8","0.0","16.5","0.0","0.0","0.0","0.0"
"85","2009","England","3,059.5","0.0","0.6","74.6","4,134.5","569.1","4,209.1"
"86","2009","East Midlands","797.7","0.0","0.1","12.3","322.8","57.0","364.7"
"87","2009","East of England","499.9","0.0","0.0","0.1","916.6","50.5","572.9"
"88","2009","North East","201.0","0.0","0.0","23.5","172.6","50.1","379.5"
"89","2009","North West","920.4","0.0","0.0","12.9","677.8","99.4","281.0"
"90","2009","London","6.2","0.0","0.1","0.0","145.2","86.6","324.9"
"91","2009","South East","344.6","0.0","0.3","0.3","823.9","79.1","793.1"
"92","2009","South West","112.1","0.0","0.1","21.1","434.2","44.2","26.9"
"93","2009","West Midlands","0.1","0.0","0.0","1.3","304.7","82.9","378.3"
"94","2009","Yorkshire and the Humber","177.5","0.0","0.0","3.2","336.7","19.3","1,087.8"
"95","2009","Northern Ireland","743.8","0.6","0.0","30.8","22.5","0.8","19.3"
"96","2009","Scotland","4,555.1","0.1","0.0","4,856.1","526.4","25.8","616.1"
"97","2009","Wales","904.7","0.0","0.0","266.2","234.2","7.3","349.2"
"98","2009","Other Sites4","17.9","0.0","19.4","0.0","0.0","0.0","0.0"
"99","2010","England","3,681.0","0.0","23.0","61.1","4,220.7","651.0","5,144.2"
"100","2010","East Midlands","756.7","0.0","1.7","11.9","333.7","76.4","341.4"
"101","2010","East of England","855.1","0.0","2.5","0.1","928.7","45.5","609.7"
"102","2010","North East","235.4","0.0","0.4","16.4","168.7","64.8","352.4"
"103","2010","North West","788.7","0.0","1.2","9.8","700.5","83.8","268.6"
"104","2010","London","5.0","0.0","2.3","0.0","152.3","87.8","315.6"
"105","2010","South East","758.3","0.0","5.6","0.3","817.3","83.7","835.7"
"106","2010","South West","85.8","0.0","5.9","18.5","460.6","52.6","38.0"
"107","2010","West Midlands","1.0","0.0","1.3","0.6","290.3","117.8","382.2"
"108","2010","Yorkshire and the Humber","194.9","0.0","2.0","3.4","368.6","38.6","2,000.8"
"109","2010","Northern Ireland","642.6","1.8","0.9","35.6","57.6","0.8","28.0"
"110","2010","Scotland","4,921.9","0.0","0.8","3,255.5","529.1","31.9","725.5"
"111","2010","Wales","986.0","0.0","1.0","212.6","223.2","13.0","295.5"
"112","2010","Other Sites4","23.0","0.0","15.4","0.0","0.0","0.0","0.0"
"113","2011","England","6,191.6","0.0","192.0","71.6","4,305.4","692.7","5,996.1"
"114","2011","East Midlands","923.0","0.0","22.5","8.9","324.5","79.5","277.1"
"115","2011","East of England","1,429.3","0.0","22.5","0.1","905.9","51.1","655.0"
"116","2011","North East","315.1","0.0","4.0","25.4","184.3","60.8","327.6"
"117","2011","North West","1,698.9","0.0","10.9","13.3","670.6","113.0","263.5"
"118","2011","London","8.1","0.0","7.0","0.0","141.1","81.5","513.0"
"119","2011","South East","1,297.6","0.0","39.7","0.4","843.4","92.6","715.5"
"120","2011","South West","246.7","0.0","52.3","18.0","454.3","54.3","57.8"
"121","2011","West Midlands","2.0","0.0","13.7","1.3","313.8","119.8","405.6"
"122","2011","Yorkshire and the Humber","270.9","0.0","19.3","4.2","467.6","40.1","2,781.1"
"123","2011","Northern Ireland","899.1","0.5","1.1","20.2","59.1","0.6","22.4"
"124","2011","Scotland","7,099.5","0.4","8.3","5,319.3","509.4","35.3","714.0"
"125","2011","Wales","1,433.8","0.0","11.6","268.7","211.5","34.9","370.1"
"126","2011","Other Sites4","27.7","0.0","30.6","0.1","0.0","0.0","1.0"
"127","2012","England","9,050.9","0.2","1,139.5","88.1","4,323.7","645.1","7,513.6"
"128","2012","East Midlands","910.2","0.0","128.4","11.8","328.8","79.9","364.8"
"129","2012","East of England","2,885.8","0.0","141.3","0.2","871.5","50.5","2,936.3"
"130","2012","North East","429.1","0.0","37.2","29.6","174.7","54.3","344.4"
